ID,Provider ID,Measure Name,Measure ID,Score,Measure Start Date,Measure End Date
1,50616,Pressure sores,PSI_3_ULCER,0.14,10/1/15,6/30/17
2,60071,Pressure sores,PSI_3_ULCER,0.26,10/1/15,6/30/17
3,70033,Death rate for stroke patients,MORT_30_STK,12.9,7/1/14,6/30/17
4,100175,Pressure sores,PSI_3_ULCER,0.33,10/1/15,6/30/17
5,140083,Pressure sores,PSI_3_ULCER,0.77,10/1/15,6/30/17
6,140300,Pressure sores,PSI_3_ULCER,0.38,10/1/15,6/30/17
7,150133,Pressure sores,PSI_3_ULCER,0.22,10/1/15,6/30/17
8,150158,Pressure sores,PSI_3_ULCER,0.11,10/1/15,6/30/17
9,160069,Pressure sores,PSI_3_ULCER,0.13,10/1/15,6/30/17
10,160101,Pressure sores,PSI_3_ULCER,0.3,10/1/15,6/30/17
11,180149,Pressure sores,PSI_3_ULCER,0.4,10/1/15,6/30/17
12,190118,Pressure sores,PSI_3_ULCER,0.36,10/1/15,6/30/17
13,190242,Pressure sores,PSI_3_ULCER,0.71,10/1/15,6/30/17
14,230030,Pressure sores,PSI_3_ULCER,0.2,10/1/15,6/30/17
15,230275,Pressure sores,PSI_3_ULCER,0.4,10/1/15,6/30/17
16,250084,Pressure sores,PSI_3_ULCER,0.45,10/1/15,6/30/17
17,260142,Pressure sores,PSI_3_ULCER,0.29,10/1/15,6/30/17
18,260177,Pressure sores,PSI_3_ULCER,0.1,10/1/15,6/30/17
19,300001,Pressure sores,PSI_3_ULCER,0.04,10/1/15,6/30/17
20,330128,Pressure sores,PSI_3_ULCER,0.41,10/1/15,6/30/17
21,330221,Pressure sores,PSI_3_ULCER,2.12,10/1/15,6/30/17
22,340186,Pressure sores,PSI_3_ULCER,0.49,10/1/15,6/30/17
23,351331,Death rate for pneumonia patients,MORT_30_PN,15.3,7/1/14,6/30/17
24,360163,Pressure sores,PSI_3_ULCER,0.28,10/1/15,6/30/17
25,380051,Death rate for stroke patients,MORT_30_STK,15.5,7/1/14,6/30/17
