ID,Provider ID,Condition,Measure Name,Measure ID,Measure Start Date,Measure End Date,Score
1,390150,Sepsis Care,Appropriate care for severe sepsis and septic shock,SEP_1,4/1/17,3/31/18,68
2,210002,Pregnancy and Delivery Care,Elective Delivery,PC_01,4/1/17,3/31/18,0
3,190204,Emergency Department,OP 18,OP_18b,4/1/17,3/31/18,158
4,330261,Emergency Department,Left before being seen,OP_22,1/1/17,12/31/17,1
5,520078,Emergency Department,Emergency department volume,EDV,1/1/17,12/31/17,high
6,190204,Heart Attack or Chest Pain,Aspirin at Arrival,OP_4,4/1/17,3/31/18,93
7,190164,Emergency Department,ED1,ED_1b,4/1/17,3/31/18,247
8,100012,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,89
9,241351,Emergency Department,OP-18,OP_18c,4/1/17,3/31/18,150
10,230133,Sepsis Care,Appropriate care for severe sepsis and septic shock,SEP_1,4/1/17,3/31/18,38
11,450605,Emergency Department,Left before being seen,OP_22,1/1/17,12/31/17,6
12,340001,Sepsis Care,Appropriate care for severe sepsis and septic shock,SEP_1,4/1/17,3/31/18,43
13,10083,Blood Clot Prevention and Treatment,Hospital Acquired Potentially-Preventable Venous Thromboembolism,VTE_6,4/1/17,3/31/18,0
14,40067,Emergency Department,OP-18,OP_18c,4/1/17,3/31/18,183
15,440084,Emergency Department,Left before being seen,OP_22,1/1/17,12/31/17,1
16,370016,Emergency Department,ED1,ED_1b,4/1/17,3/31/18,200
17,370016,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,OP_30,1/1/17,12/31/17,82
18,171308,Emergency Department,Left before being seen,OP_22,1/1/17,12/31/17,0
19,10083,Heart Attack or Chest Pain,Median Time to ECG,OP_5,4/1/17,3/31/18,7
20,50736,Pregnancy and Delivery Care,Elective Delivery,PC_01,4/1/17,3/31/18,0
21,210002,Emergency Department,ED2,ED_2b,4/1/17,3/31/18,399
22,340001,Cancer care,External Beam Radiotherapy for Bone Metastases,OP_33,1/1/17,12/31/17,97
23,281341,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,20
24,40067,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,93
25,511317,Emergency Department,Head CT results,OP_23,4/1/17,3/31/18,100
26,110200,Preventive Care,Immunization for influenza,IMM_2,10/1/17,3/31/18,99
27,291300,Emergency Department,ED2,ED_2b,4/1/17,3/31/18,21
28,440084,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,OP_30,1/1/17,12/31/17,90
29,230133,Emergency Department,ED2,ED_2b,4/1/17,3/31/18,100
30,440084,Emergency Department,ED2,ED_2b,4/1/17,3/31/18,83
31,230133,Preventive Care,Healthcare workers given influenza vaccination,IMM_3_OP_27_FAC_ADHPCT,10/1/17,3/31/18,99
32,50324,Emergency Department,Door to diagnostic eval,OP_20,4/1/17,3/31/18,16
33,390030,Heart Attack or Chest Pain,Median Time to ECG,OP_5,4/1/17,3/31/18,15
34,171308,Heart Attack or Chest Pain,Median Time to ECG,OP_5,4/1/17,3/31/18,7
