Provider_ID,Hospital_Name,City,State,ZIP_Code,Phone_Number,Hospital_Type,Hospital_Ownership,Emergency_Services
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,TRUE
10012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,35968,2568453150,Acute Care Hospitals,Proprietary,TRUE
10131,CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,35801,2568823100,Acute Care Hospitals,Proprietary,TRUE
11304,CHOCTAW GENERAL HOSPITAL,BUTLER,AL,36904,2054599100,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,99559,9075436300,Acute Care Hospitals,Tribal,TRUE
21301,PROVIDENCE VALDEZ MEDICAL CENTER,VALDEZ,AK,99686,9078352249,Critical Access Hospitals,Government - Local,TRUE
21304,PETERSBURG MEDICAL CENTER,PETERSBURG,AK,99833,9077724291,Critical Access Hospitals,Government - Local,TRUE
21307,CORDOVA COMMUNITY MEDICAL CENTER,CORDOVA,AK,99574,9074248000,Critical Access Hospitals,Government - Local,TRUE
21308,NORTON SOUND REGIONAL HOSPITAL,NOME,AK,99762,9074433311,Critical Access Hospitals,Government,TRUE
21309,KANAKANAK HOSPITAL,DILLINGHAM,AK,99576,9078425201,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
21310,MANIILAQ HEALTH CENTER,KOTZEBUE,AK,99752,9074423321,Critical Access Hospitals,Government,TRUE
30071,FORT DEFIANCE INDIAN HOSPITAL,FORT DEFIANCE,AZ,86504,9287298000,Acute Care Hospitals,Government - Federal,TRUE
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,TUBA CITY,AZ,86045,9282832501,Acute Care Hospitals,Voluntary non-profit - Other,FALSE
30074,SELLS HOSPITAL,SELLS,AZ,85634,5203627003,Acute Care Hospitals,Tribal,TRUE
30077,SAN CARLOS APACHE HEALTHCARE,PERIDOT,AZ,85542,9284751200,Acute Care Hospitals,Government - Federal,FALSE
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,CHINLE,AZ,86503,9286747001,Acute Care Hospitals,Government - Federal,TRUE
31305,HOPI HEALTH CARE CENTER,POLACCA,AZ,86042,9287376000,Critical Access Hospitals,Government,FALSE
31309,SAGE MEMORIAL HOSPITAL,GANADO,AZ,86505,9287554541,Critical Access Hospitals,Voluntary non-profit - Private,FALSE
40007,CHI-ST VINCENT INFIRMARY,LITTLE ROCK,AR,72205,5015523000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
40018,SPARKS MEDICAL CENTER - VAN BUREN,VAN BUREN,AR,72956,4794743401,Acute Care Hospitals,Proprietary,TRUE
40050,OUACHITA COUNTY MEDICAL CENTER,CAMDEN,AR,71701,8708361000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
40154,BAPTIST HEALTH MEDICAL CENTER-CONWAY,CONWAY,AR,72032,5015852000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
41328,CHICOT MEMORIAL MEDICAL CENTER,LAKE VILLAGE,AR,71653,8702655351,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
50054,SAN GORGONIO MEMORIAL HOSPITAL,BANNING,CA,92220,9518451121,Acute Care Hospitals,Government - Hospital District or Authority,TRUE
50103,WHITE MEMORIAL MEDICAL CENTER,LOS ANGELES,CA,90033,3232685000,Acute Care Hospitals,Voluntary non-profit - Church,FALSE
50145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MONTEREY,CA,93940,8316245311,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,NEWPORT BEACH,CA,92663,9497644624,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
50280,MERCY MEDICAL CENTER REDDING,REDDING,CA,96001,5302256102,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
50309,SUTTER ROSEVILLE MEDICAL CENTER,ROSEVILLE,CA,95661,9167811000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE
50488,EDEN MEDICAL CENTER,CASTRO VALLEY,CA,94546,5105371234,Acute Care Hospitals,Voluntary non-profit - Other,TRUE
100054,TWIN CITIES HOSPITAL,NICEVILLE,FL,32578,8506784131,Acute Care Hospitals,Proprietary,TRUE
50567,MISSION HOSPITAL REGIONAL MED CENTER,MISSION VIEJO,CA,92691,9493641400,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
50684,MENIFEE VALLEY MEDICAL CENTER,SUN CITY,CA,92585,9516798888,Acute Care Hospitals,Physician,FALSE
50717,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,DOWNEY,CA,90242,5624017022,Acute Care Hospitals,Government - Local,FALSE
51317,ADVENTIST HEALTH CLEARLAKE,CLEARLAKE,CA,95422,7079946486,Critical Access Hospitals,Voluntary non-profit - Church,TRUE
53306,CHILDREN'S HOSPITAL AT MISSION,MISSION VIEJO,CA,92691,9493652408,Childrens,Voluntary non-profit - Private,TRUE
60128,LONGS PEAK HOSPITAL,LONGMONT,CO,80504,7207183005,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
61325,PIONEERS MEDICAL CENTER,MEEKER,CO,81641,9708785047,Critical Access Hospitals,Government - Hospital District or Authority,TRUE
70006,STAMFORD HOSPITAL,STAMFORD,CT,6904,2032761000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
70008,JOHNSON MEMORIAL HOSPITAL,STAFFORD SPRINGS,CT,6076,8606844251,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
70016,SAINT MARY'S HOSPITAL,WATERBURY,CT,6706,2035746000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE
70029,BRISTOL HOSPITAL,BRISTOL,CT,6010,8605853000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
80003,ST FRANCIS HOSPITAL,WILMINGTON,DE,19805,3024214100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
100075,ST JOSEPHS HOSPITAL,TAMPA,FL,33677,8138704398,Acute Care Hospitals,Voluntary non-profit - Church,TRUE
100137,HEART OF FLORIDA REGIONAL MEDICAL CENTER,DAVENPORT,FL,33837,8634224971,Acute Care Hospitals,Proprietary,TRUE
100183,CORAL GABLES HOSPITAL,CORAL GABLES,FL,33134,3054458461,Acute Care Hospitals,Proprietary,TRUE
100209,KENDALL REGIONAL MEDICAL CENTER,MIAMI,FL,33175,3052233000,Acute Care Hospitals,Proprietary,TRUE
101301,SHANDS LIVE OAK REGIONAL MEDICAL CENTER,LIVE OAK,FL,32060,9043621413,Critical Access Hospitals,Proprietary,TRUE
110030,CARTERSVILLE MEDICAL CENTER,CARTERSVILLE,GA,30120,7703878182,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
110038,JOHN D ARCHBOLD MEMORIAL HOSPITAL,THOMASVILLE,GA,31792,2292282880,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
110128,MEADOWS REGIONAL MEDICAL CENTER,VIDALIA,GA,30474,9125355828,Acute Care Hospitals,Proprietary,TRUE
111335,LIBERTY REGIONAL MEDICAL CENTER,HINESVILLE,GA,31310,9123699438,Critical Access Hospitals,Government - Hospital District or Authority,TRUE
120028,NORTH HAWAII COMMUNITY HOSPITAL,KAMUELA,HI,96743,8088854444,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
140002,ALTON MEMORIAL HOSPITAL,ALTON,IL,62002,6184637300,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
140015,BLESSING HOSPITAL,QUINCY,IL,62305,2172231200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
140018,MT SINAI HOSPITAL MEDICAL CENTER,CHICAGO,IL,60608,7735422000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
140052,OSF SAINT ANTHONY'S HEALTH CENTER,ALTON,IL,62002,6184652571,Acute Care Hospitals,Voluntary non-profit - Church,TRUE
140118,METROSOUTH MEDICAL CENTER,BLUE ISLAND,IL,60406,7085972000,Acute Care Hospitals,Proprietary,TRUE
140172,FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS,OLYMPIA FIELDS,IL,60461,7087474000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE
140187,HSHS ST ELIZABETH'S HOSPITAL,O FALLON,IL,62269,6182342120,Acute Care Hospitals,Voluntary non-profit - Church,TRUE
140210,HARRISBURG MEDICAL CENTER,HARRISBURG,IL,62946,6182537671,Acute Care Hospitals,Voluntary non-profit - Other,TRUE
141328,HARDIN COUNTY GENERAL HOSPITAL,ROSICLARE,IL,62982,6182856634,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
141346,FAYETTE COUNTY HOSPITAL,VANDALIA,IL,62471,6182831231,Critical Access Hospitals,Voluntary non-profit - Other,TRUE
141349,SPARTA COMMUNITY HOSPITAL,SPARTA,IL,62286,6184432177,Critical Access Hospitals,Government - Hospital District or Authority,TRUE
143301,LARABIDA CHILDRENS HOSPITAL I,CHICAGO,IL,60649,7733636700,Childrens,Voluntary non-profit - Private,FALSE
150069,KING'S DAUGHTERS' HEALTH,MADISON,IN,47250,8128010105,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
160089,OTTUMWA REGIONAL HEALTH CENTER,OTTUMWA,IA,52501,6416827511,Acute Care Hospitals,Proprietary,TRUE
161377,MERCY MEDICAL CENTER-CENTERVILLE,CENTERVILLE,IA,52544,6414374111,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
170166,MORTON COUNTY HOSPITAL,ELKHART,KS,67950,6206972141,Acute Care Hospitals,Government - Local,TRUE
171303,LANE COUNTY HOSPITAL,DIGHTON,KS,67839,6203975321,Critical Access Hospitals,Voluntary non-profit - Other,TRUE
171304,ASHLAND HEALTH CENTER,ASHLAND,KS,67831,6206352241,Critical Access Hospitals,Voluntary non-profit - Other,TRUE
171312,COMANCHE COUNTY HOSPITAL,COLDWATER,KS,67029,6205822144,Critical Access Hospitals,Government - Local,TRUE
171322,HAMILTON COUNTY HOSPITAL,SYRACUSE,KS,67878,6203847461,Critical Access Hospitals,Government - Local,TRUE
171324,SATANTA DISTRICT HOSPITAL,SATANTA,KS,67870,6206492761,Critical Access Hospitals,Government - Hospital District or Authority,TRUE
171338,SABETHA COMMUNITY HOSPITAL,SABETHA,KS,66534,7852842121,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
171344,WILSON MEDICAL CENTER,NEODESHA,KS,66757,6203258369,Critical Access Hospitals,Government - Local,TRUE
171382,ATCHISON HOSPITAL,ATCHISON,KS,66002,9133605581,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
180010,SAINT JOSEPH HOSPITAL,LEXINGTON,KY,40504,8593131000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE
180080,BAPTIST HEALTH CORBIN,CORBIN,KY,40701,6065281212,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
190116,MOREHOUSE GENERAL HOSPITAL,BASTROP,LA,71220,3182833600,Acute Care Hospitals,Government - Hospital District or Authority,TRUE
190144,MINDEN MEDICAL CENTER,MINDEN,LA,71055,3183772321,Acute Care Hospitals,Proprietary,TRUE
190145,LASALLE GENERAL HOSPITAL,JENA,LA,71342,3189929200,Acute Care Hospitals,Government - Hospital District or Authority,TRUE
200033,EASTERN MAINE MEDICAL CENTER,BANGOR,ME,4401,2079737000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
191318,RIVERLAND MEDICAL CENTER,FERRIDAY,LA,71334,3187576551,Critical Access Hospitals,Government - Hospital District or Authority,TRUE
200018,AROOSTOOK MEDICAL CENTER,PRESQUE ISLE,ME,4769,2077684000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
201301,CHARLES A DEAN MEMORIAL HOSPITAL,GREENVILLE,ME,4441,2076955200,Critical Access Hospitals,Voluntary non-profit - Private,FALSE
220010,LAWRENCE GENERAL HOSPITAL,LAWRENCE,MA,1842,9786834000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
220171,LAHEY HOSPITAL & MEDICAL CENTER  BURLINGTON,BURLINGTON,MA,1803,7817445100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
221300,MARTHA'S VINEYARD HOSPITAL INC,OAK BLUFFS,MA,2557,5086930410,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
230110,SPECTRUM HEALTH LUDINGTON HOSPITAL,LUDINGTON,MI,49431,2318432591,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
230132,HURLEY MEDICAL CENTER,FLINT,MI,48503,8102579000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE
230197,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,GRAND BLANC,MI,48439,8106065000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE
230269,BEAUMONT HOSPITA TROY,TROY,MI,48085,2489648800,Acute Care Hospitals,Voluntary non-profit - Private,TRUE
230273,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,DETROIT,MI,48201,3137453104,Acute Care Hospitals,Proprietary,TRUE
230277,HURON VALLEY-SINAI HOSPITAL,COMMERCE TOWNSHIP,MI,48382,2489373370,Acute Care Hospitals,Proprietary,TRUE
231322,MUNSON HEALTHCARE CHARLEVOIX HOSPITAL,CHARLEVOIX,MI,49720,2315474024,Critical Access Hospitals,Voluntary non-profit - Other,TRUE
231323,SPECTRUM HEALTH REED CITY HOSPITAL,REED CITY,MI,49677,2318323271,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
240206,RED LAKE HOSPITAL A,REDLAKE,MN,56671,2186793912,Acute Care Hospitals,Government - Federal,FALSE
241300,MAHNOMEN HEALTH CENTER,MAHNOMEN,MN,56557,2189352511,Critical Access Hospitals,Government - Local,TRUE
241306,RENVILLE COUNTY HOSPITAL AND CLINICS,OLIVIA,MN,56277,3205231261,Critical Access Hospitals,Government - Local,TRUE
241326,CENTRACARE HEALTH SYSTEM - LONG PRAIRIE,LONG PRAIRIE,MN,56347,3207322141,Critical Access Hospitals,Voluntary non-profit - Private,TRUE
250006,BAPTIST MEMORIAL HOSPITAL UNION COUNTY,NEW ALBANY,MS,38652,6625387631,Acute Care Hospitals,Voluntary non-profit - Other,TRUE
250057,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN,BROOKHAVEN,MS,39601,6018336011,Acute Care Hospitals,Voluntary non-profit - Other,TRUE
250060,JEFFERSON COUNTY HOSPITAL,FAYETTE,MS,39069,6017863401,Acute Care Hospitals,Government - Local,TRUE
250078,FORREST GENERAL HOSPITAL,HATTIESBURG,MS,39404,6012887000,Acute Care Hospitals,Government - Local,TRUE
250084,MERIT HEALTH NATCHEZ,NATCHEZ,MS,39120,6014432100,Acute Care Hospitals,Proprietary,TRUE
