CMS Certification Number (CCN),Facility Name,City,State,Zip Code,PhoneNumber,Ownership Type,Total Number of Beds
232035,SELECT SPECIALTY HOSPITAL- BATTLE CREEK,BATTLE CREEK,MI,49016,(269) 245-4675,Non-profit,25
42013,ARKANSAS CONTINUED CARE HOSPITAL OF JONESBORO,JONESBORO,AR,72401,(870) 819-4040,For profit,44
312024,COLUMBUS HOSPITAL LTACH,NEWARK,NJ,7107,(973) 587-7712,Non-profit,63
362016,SELECT SPECIALTY HOSPITAL-NORTHEAST OHIO,CANTON,OH,44708,(330) 489-8198,For profit,61
192022,RUSTON REGIONAL SPECIALTY HOSPITAL,RUSTON,LA,71270,(318) 251-3126,For profit,55
32002,CURAHEALTH TUCSON,TUCSON,AZ,85711,(520) 584-4500,For profit,51
452044,LIFECARE HOSPITALS OF DALLAS,DALLAS,TX,75235,(214) 525-6300,For profit,206
452088,KINDRED HOSPITAL FORT WORTH,FORT WORTH,TX,76104,(817) 332-4812,For profit,67
102021,BAYCARE ALLIANT HOSPITAL,DUNEDIN,FL,34698,(727) 734-6302,Non-profit,48
42011,ADVANCED CARE HOSPITAL WHITE COUNTY,SEARCY,AR,72143,(501) 278-3155,Non-profit,27
322003,ALBUQUERQUE - AMG SPECIALTY HOSPITAL,ALBUQUERQUE,NM,87108,(505) 842-5550,Government,25
22001,ST ELIAS SPECIALTY HOSPITAL,ANCHORAGE,AK,99503,(907) 561-3333,For profit,60
192037,HOUMA - AMG SPECIALTY HOSPITAL,HOUMA,LA,70360,(985) 274-0001,For profit,40
232036,HENRY FORD ALLEGIANCE SPECIALTY HOSPITAL,JACKSON,MI,49202,(517) 796-4426,Non-profit,64
452022,SELECT SPECIALTY HOSPITAL-DALLAS,CARROLLTON,TX,75010,(972) 884-2407,Non-profit,60
102026,FLORIDA HOSPITAL AT CONNERTON LONG TERM ACUTE CARE,LAND O LAKES,FL,34637,(813) 971-3700,For profit,50
12013,NOLAND HOSPITAL SHELBY II,ALABASTER,AL,35007,(205) 620-8641,Non-profit,52
452075,KINDRED HOSPITAL CLEAR LAKE,WEBSTER,TX,77598,(281) 316-7800,For profit,147
92003,BRIDGEPOINT -NATIONAL HARBOR,WASHINGTON,DC,20032,(202) 574-5770,For profit,82
452107,CORNERSTONE HOSPITAL CONROE,CONROE,TX,77304,(682) 831-9670,For profit,41
452083,MID-JEFFERSON EXTENDED CARE HOSPITAL,NEDERLAND,TX,77627,(409) 726-8700,For profit,48
142011,PRESENCE HOLY FAMILY MEDICAL CENTER,DES PLAINES,IL,60016,(847) 813-3176,Non-profit,238
342018,SELECT SPECIALTY HOSPITAL DURHAM INC,DURHAM,NC,27704,(919) 470-9010,For profit,30
212002,WESTERN MARYLAND CENTER,HAGERSTOWN,MD,21742,(301) 745-4140,Government,123
32005,SELECT SPECIALTY HOSPITAL ARIZONA,PHOENIX,AZ,85006,(717) 972-1100,For profit,62
192019,MEMORIAL SPECIALTY HOSPITAL,LAKE CHARLES,LA,70601,(337) 480-8990,For profit,29
222043,VIBRA HOSPITAL OF SOUTHEASTERN MASSACHUSETTS,NEW BEDFORD,MA,2745,(508) 995-6900,For profit,90
12012,NOLAND HOSPITAL TUSCALOOSA II,TUSCALOOSA,AL,35401,(205) 759-7241,Non-profit,32
222000,SPAULDING HOSPITAL FOR CONTINUING MED CARE-CAMB,CAMBRIDGE,MA,2138,(617) 876-4344,Non-profit,180
192052,SPECIALTY HOSPITAL OF WINNFIELD,WINNFIELD,LA,71483,(318) 648-3523,For profit,20
172004,PROMISE HOSPITAL OF OVERLAND PARK,OVERLAND PARK,KS,66212,(913) 649-3701,Government,56
